"name","position","department","degree"
"EIDE,DAVID","Professor","Nutritional Sciences","PHD 1987 Univ of Wisconsin-Madison"
"EIRING,KRISTINE MARY","Lecturer","Rehab Psychology &amp; Special Ed","EDM 1996 Univ of Wisconsin-Madison"
"EISENSTEIN,RICK","Professor","Nutritional Sciences","PHD 1985 Univ of Wisconsin-Madison"
"EITH,ALYSON","Clinical Professor","Communication Sci &amp; Disorders","MS 2000 Univ of Wisconsin-Madison"
"EITZER,ANDREW","Clinical Instructor","Surgical Sciences","DVM 2016 "
"EKLUND,KATIE","Associate Professor","Educational Psychology","PHD 2011 U of California-Santa Barbara"
"EL-NOSSERY,NEVINE","Associate Professor","French And Italian","PHD 2000 University of Montreal"
"ELDER,ED","Senior Lecturer","Ms In Biotechnology Degree Prg",NA
"ELDRIDGE,HANNAH VANDEGRIFT","Associate Professor","German, Nordic &amp; Slavic","PHD 2012 University of Chicago"
"ELDRIDGE,MARLOWE W.","Professor","Pediatrics","MD 1986 University Of New Mexico"
"ELDRIDGE,MARY","Assoc Lecturer","Social Work","MSW 2015 University of Iowa"
"ELFENBEIN,JOHANNA","Assistant Professor","Pathobiological Sciences","PHD 2014 "
"ELICEIRI,KEVIN WILLIAM","Associate Professor","Medical Physics","PHD 2016 Univ of Wisconsin-Madison"
"ELKHOULY,MOHAMED","Visiting Asst Prof","Statistics","PHD 2019 University of Virginia"
"ELLENBERG,JORDAN","Professor","Mathematics","PHD 1998 Harvard University"
"ELLINGER,LISA","Assoc Lecturer","Lafollette Sch Of Publ Affairs","M.P.AFF 2003 Univ of Wisconsin-Madison"
"ELLIS WEISMER,SUSAN","Professor","Communication Sci &amp; Disorders","PHD 1981 Indiana University"
"ELLIS,LISA","Senior Lecturer","Communication Arts","MFA 2007 Columbia College"
"ELLISON,AUBREY","Asst Faculty Assoc","Chemistry","PHD 2017 Univ of Wisconsin-Madison"
"ELLISON,PAUL ANDREW","Assistant Professor","Medical Physics","PHD 2015 Univ of Wisconsin-Madison"
"ELLISON,SHELBY LYNN","Assistant Professor","Horticulture","PHD 2012 Univ of California Davis"
"ELSMO,ELIZABETH JANE","Clinical Asst Prof","Madison Pathology/Toxicology","DVM 2013 Univ of Wisconsin-Madison"
"ELWERT,FELIX","Professor","Sociology","PHD 2006 Harvard University"
"EMBORG,MARINA E","Professor","Medical Physics","PHD 1993 Universidad de Buenos Aires"
"EMIRBAYER,MUSTAFA","Professor","Sociology","PHD 1989 Harvard University"
"EMSHWILLER,EVE","Associate Professor","Botany","PHD 1999 Cornell University"
"ENDELMAN,JEFFREY","Associate Professor","Horticulture","PHD 2011 Washington State University"
"ENDERLE,GORDON","Faculty Associate","Risk &amp; Insurance","BS 1983 Princeton University"
"ENDICOTT,SARAH ELISA","Clinical Professor","Nursing","DNP 2013 Univ of Wisconsin-Madison"
"ENDRES,MATTHEW CHARLES","Faculty Associate","Mead Witter School Of Music","DM 2020 Univ of IL at Urbana-Champaign"
"ENGEL,CHARLES","Professor","Economics","PHD 1983 Univ of California Berkeley"
"ENGELMAN,CORINNE D","Professor","Population Health Sciences","PHD 2006 Univ of Colorado at Denver"
"ENGELMAN,MICHAL","Associate Professor","Sociology","PHD 2010 Johns Hopkins University"
"ENGIN,FEYZA SONIYE","Assistant Professor","Biomolecular Chemistry","PHD 2007 Baylor College Of Medicine"
"ENGLAND,SAMUEL","Associate Professor","African Cultural Studies","PHD 2011 Univ of California Berkeley"
"ENGLE,JONATHAN W","Assistant Professor","Medical Physics","PHD 2011 Univ of Wisconsin-Madison"
"ENKE,FINN","Professor","Gender And Women Studies","PHD 1999 Univ of Minnesota-Twin Cities"
"ENRIGHT,ROBERT D.","Professor","Educational Psychology","PHD 1976 Univ of Minnesota-Twin Cities"
"ENRIQUEZ,FALINA","Assistant Professor","Anthropology","PHD 2014 University of Chicago"
"ENSOR,SARAH","Assistant Professor","English","PHD 2012 Cornell University"
"ENSTAD,NAN","Professor","Community &amp; Environ Sociology","PHD 1993 Univ of Minnesota-Twin Cities"
"EOM,CHANG-BEOM","Professor","Materials Science&amp;Engineering","PHD 1991 Stanford University"
"EPP,AMBER","Associate Professor","Marketing","PHD 2008 University of Nebraska-Lincoln"
"EPP,RUSSELL","Senior Lecturer","Accting &amp; Info Sys","MACC 2001 University of Nebraska-Lincoln"
"EPPLI,MARK J","Faculty Associate","Graaskamp Ctr For Real Estate","PHD  Univ of Wisconsin-Madison"
"ERAKER,BJORN","Professor","Finance","PHD 2001 University of Chicago"
"ERBIL ERKAN,NALAN","Asst Faculty Assoc","South Asian Sum Lang Instit","PHD 2018 Univ of Wisconsin-Madison"
"ERIKSSON,MARK ALAN","Professor","Physics","PHD 1997 Harvard University"
"ERITEN,MELIH","Associate Professor","Mechanical Engineering","PHD 2011 Univ of IL at Urbana-Champaign"
"ERKER,TEDWARD","Asst Faculty Assoc","Statistics","MS 2018 Univ of Wisconsin-Madison"
"ERLANGER,HOWARD","Professor","Law School","PHD 1971 Univ of California Berkeley"
"ERMAKOFF,IVAN","Professor","Sociology","PHD 1997 University of Chicago"
"ERMAN,DANIEL M","Associate Professor","Mathematics","PHD 2010 Univ of California Berkeley"
"ERSIG,ANNE","Assistant Professor","Nursing","PHD 2008 University of Iowa"
"ESCHENFELDER,KRISTIN","Professor","Information School","PHD 2000 Syracuse University"
"ESCOTT-STUMP,SYLVIA","Assoc Faculty Assoc","Nutritional Sciences","MA 1980 Indiana Univ Of Pennsylvania"
"ESKOLA,LIANA","Clinical Asst Prof","Medicine","DO 2013 Philadelphia Colg of Osteopath"
"ESMAILI-SARDARI,MOHAMAD T","Senior Lecturer","Inst Reg Intl Studies",NA
"ESSELMAN,BRIAN JOHN","Faculty Associate","Chemistry","PHD 2012 Univ of Wisconsin-Madison"
"ETZEL,MARK","Professor","Food Science","PHD 1983 Univ of California Berkeley"
"EUDEY,GWEN","Senior Lecturer","Economics","PHD 1993 Univ of California Berkeley"
"EVANS,DAVID TODD","Professor","Pathology&amp;Laboratory Medicine","PHD 1997 Univ of Wisconsin-Madison"
"EVANS,HEIDI","Faculty Associate","English","MA 1998 Univ of Wisconsin-Madison"
"EVANS,PAUL G.","Professor","Materials Science&amp;Engineering","PHD 2000 Harvard University"
"EVANS-ROMAINE,KAREN","Professor","German, Nordic &amp; Slavic","PHD 1996 Univ of Michigan at Ann Arbor"
"EVENSEN,ANN ELIZABETH","Professor (Chs)","Family Medicine","MD 1995 Univ of Wisconsin-Madison"
"EVERETT,LISA L","Professor","Physics","PHD 1998 University of Pennsylvania"
"FABRY,ZSUZSANNA","Professor","Pathology&amp;Laboratory Medicine","PHD 1984 Eotvos Lorand University"
"FAHL,WILLIAM","Professor","Oncology","PHD 1975 Univ of Wisconsin-Madison"
"FAHY,JENNIFER LYNN","Lecturer","Social Work","MA 2006 University of Chicago"
"FAIN,SEAN BEDILLION","Professor","Medical Physics","PHD 2000 Mayo Foundation"
"FALAHATI ARDESTANI,REZA","Lecturer","Inst Reg Intl Studies",NA
"FALK,KATHLEEN MARY","Faculty Associate","Academic Programs","JD  Univ of Wisconsin-Madison"
"FALK,MICHAEL EDWARD","Adjunct Professor","Ms In Biotechnology Degree Prg","JD 1997 Univ of Wisconsin-Madison"
"FAMAKIN,BOLANLE M","Assistant Professor","Neurology","MD 2000 University of Iowa"
"FAN,JING","Assistant Professor","Nutritional Sciences","PHD 2014 Princeton University"
"FAN,SHUXING","Assistant Professor","Theatre &amp; Drama","MFA 1991 Boston University"
"FANG,HANLONG","Visiting Asst Prof","Mathematics","PHD  "
"FANG,KE","Assistant Professor","Physics","PHD 2015 University of Chicago"
"FARHAT,WALID A","Professor (Chs)","Urology","MD 1992 Beirut Arab University"
"FAUST,JENNIFER","Lecturer","Ed Leadership&amp;Policy Analysis","PHD 1995 Univ of Illinois at Chicago"
"FAWAZ,KASSEM","Assistant Professor","Electrical &amp; Computer Engr","PHD 2017 University of MI"
"FAWAZ,RAMZI","Associate Professor","English","PHD 2012 George Washington University"
"FEDENIA,LAUREN","Lecturer","Horticulture","PHD 2020 Texas A &amp; M University"
"FEDENIA,MARK A.","Associate Professor","Finance","PHD 1988 Univ of Wisconsin-Madison"
"FEIGL,KURT","Professor","Geoscience","PHD 1991 Massachusetts Inst Of Tech"
"FEINSTEIN,NOAH WEETH","Associate Professor","Curriculum And Instruction","PHD 2008 Stanford University"
"FELDMAN,MIKHAIL","Professor","Mathematics","PHD 1994 Univ of California Berkeley"
"FELDSTEIN,DAVID ALAN","Professor (Chs)","Medicine","MD 1996 SUNY At Stony Brook"
"FELTON,ELIZABETH","Asst Professor (Chs)","Neurology","PHD 2007 Univ of Wisconsin-Madison"
"FENG,DAWEI","Assistant Professor","Materials Science&amp;Engineering","PHD 2015 Texas A &amp; M University"
"FENG,IVY","Assistant Professor","Accting &amp; Info Sys","PHD 2020 Univ of Maryland College Park"
"FERGUSON,JEANNE MARIE BYRON","Lecturer","Social Work","MSSW 1984 Univ of Wisconsin-Madison"
"FERNANDES,EARLENCE","Assistant Professor","Computer Sciences","PHD 2017 Univ of Michigan at Ann Arbor"
"FERNANDEZ,DONNA","Professor","Botany","PHD 1987 Univ of Colorado at Boulder"
"FERRARETTO,LUIZ","Assistant Professor","Animal And Dairy Sciences","PHD 2015 Univ of Wisconsin-Madison"
"FERREE,MYRA MARX","Honorary Assoc/Fellow","Sociology","PHD 1976 Harvard University"
"FERREIRA,TATIANA HENRIQUES","Clinical Asst Prof","Surgical Sciences","DVM 2005 Univ Federal Fluminense"
"FERRIER,KEN","Assistant Professor","Geoscience","PHD 2009 Univ of California Berkeley"
"FERRIS,MICHAEL","Professor","Computer Sciences","PHD 1988 University of Cambridge"
"FIEGEL-NEWLON,JENNIFER ANN","Clinical Assoc Prof","Nursing","DNP 2012 Univ of Wisconsin-Madison"
"FIELD,AMBER","Assoc Lecturer","Computer Sciences","BS 2005 Univ of Wisconsin-Madison"
"FIELDER,BRIGITTE","Associate Professor","#N/A","PHD 2012 Cornell University"
"FIELDS,BETH","Assistant Professor","Kinesiology","PHD 2017 Colorado State University"
"FIELDS,DAVID","Asst Faculty Assoc","Asian Studies","PHD  "
"FINDLEY,KEITH","Professor","Law School","JD 1985 Yale University"
"FINLEY,KATHRYN BELLIS","Clinical Asst Prof","Law School","JD 2009 Stanford University"
"FINNEY,MISHA","Assoc Faculty Assoc","Communication Sci &amp; Disorders","PHD 2016 Univ of Wisconsin-Madison"
"FIORENZA,MARY E.","Faculty Associate","English","PHD 2009 Univ of Wisconsin-Madison"
"FISCHER,COLLETTE","Lecturer","Educational Psychology","PHD 2015 Univ of Wisconsin-Madison"
"FISCHER,ISMOR","Senior Lecturer","Statistics","PHD 1989 Univ of Wisconsin-Madison"
"FISCHER,MARTHA","Professor","Mead Witter School Of Music","MA 1982 New England Cnsrvtry Of Music"
"FISH,JEFFREY","Clinical Instructor","Pharmacy","PHARMD 1993 Univ of Minnesota-Twin Cities"
"FISHER,MADELINE MARY","Faculty Associate","Life Sciences Communication","PHD 1998 Univ of Wisconsin-Madison"
"FISHLER,THERESA","Asst Faculty Assoc","Social Work","MSW 1989 Univ of Wisconsin-Madison"
"FITZPATRICK,MEGAN BURKE","Asst Professor (Chs)","Pathology&amp;Laboratory Medicine","MD 2014 University Of New Mexico"
"FITZSIMONS,SARAH","Assistant Professor","Art","MFA 2005 Univ of California Los Angeles"
"FLANAGAN,CONSTANCE","Professor","School Of Human Ecology","PHD 1987 Univ of Michigan at Ann Arbor"
"FLANARY,PETER WILLIAM","Lecturer","Art","MFA 1988 Univ of Wisconsin-Madison"
"FLETCHER,EMILY","Associate Professor","Philosophy","PHD 2012 University of Toronto"
"FLETCHER,JASON M","Professor","Lafollette Sch Of Publ Affairs","PHD 2006 Univ of Wisconsin-Madison"
"FLUGA,ERIC","Adjunct Asst Prof","Engr Professional Development","MS 2017 Univ of IL at Urbana-Champaign"
"FLYNN,MAXFIELD PATRICK","Asst Professor (Chs)","Medicine","PHD 2007 Northwestern University"
"FOLTZ,JEREMY","Professor","Agricultural&amp;Applied Economics","PHD 1998 Univ of Wisconsin-Madison"
"FONCK,RAYMOND JOHN","Professor Emer","Engineering Physics","PHD 1978 Univ of Wisconsin-Madison"
"FONDOW,STEVEN RICHARD","Assoc Faculty Assoc","Spanish And Portuguese","PHD 2010 Ohio State University"
"FORD II,JAMES H.","Assistant Professor","Pharmacy","PHD 2004 Univ of Wisconsin-Madison"
"FOREST,CARY","Professor","Physics","PHD 1992 Princeton University"
"FOREST,KATRINA T.","Professor","Bacteriology","PHD 1993 Princeton University"
"FORREST,LISA J.","Professor","Surgical Sciences","DVM 1988 University of Pennsylvania"
"FORSTER BENEDICT,STACY","Faculty Associate","Journalism&amp;Mass Communication","MS 1999 Northwestern University"
"FOST,NORMAN","Professor Emer","Pediatrics","MD 1964 Yale University"
"FOWLER,AMY MARIE","Assistant Professor","Radiology","PHD 2005 Univ of Wisconsin-Madison"
"FOWLER,CYNTHIA","Professor","Communication Sci &amp; Disorders","PHD 1980 Northwestern University"
"FOX,ASHBY KENT","Assoc Lecturer","Law School","JD 2003 Emory University"
"FOX,BRIAN G.","Professor","Biochemistry","PHD 1989 Univ of Minnesota-Twin Cities"
"FOX,CATHERINE A","Professor","Biomolecular Chemistry","PHD 1992 Univ of Wisconsin-Madison"
"FOYS,MARTIN","Professor","English","PHD 1998 Loyola University of Chicago"
"FRANCETIC LEPE,LINDA","Faculty Associate","Consumer Science","MS 1986 Ohio State University"
"FRANCHINO,DAVID CHARLES","Adjunct Asst Prof","Mechanical Engineering","MS 1993 Stanford University"
"FRANCIS,DAVID OLIVER","Associate Professor","Surgery","MD 2004 University Of Rochester"
"FRANCK,CHRISTIAN","Associate Professor","Mechanical Engineering","PHD 2008 "
"FRANCK,JENNIFER","Assistant Professor","Engineering Physics","PHD 2009 California Institute of Tech"
"FRANCOIS,MARY","Clinical Asst Prof","Nursing","DNP 2016 Univ of Wisconsin-Madison"
"FRANK,CHRISTINA","Lecturer","Administration-Acad Affairs","MS 2014 Univ of Wisconsin-Madison"
"FRANK,HEIDI","Assoc Faculty Assoc","Social Work","MSW 2005 College Of St Catherine"
"FRANK,VICTORIA","Assoc Lecturer","Social Work","MPA 2008 Univ of Wisconsin-Madison"
"FRANTZ,EVA","Clinical Instructor","Medical Sciences","DVM 2017 Univ of Wisconsin-Madison"
"FRATTA,DANTE","Associate Professor","Civil &amp; Environmental Engr","PHD 1999 Georgia Inst of Technology"
"FREDETTE,STEVEN","Assoc Faculty Assoc","Electrical &amp; Computer Engr","PHD 2009 Univ of Wisconsin-Madison"
"FREDRICKSON,DANIEL C","Professor","Chemistry","PHD 2005 Cornell University"
"FREEDMAN,ZAC","Assistant Professor","Soil Science","PHD 2012 Rutgers St Unv-New Brunswick"
"FREELAND,ROBERT F","Professor","Sociology","PHD 1994 Univ of California Berkeley"
"FREEMAN,KATIE","Asst Faculty Assoc","Cals Academic Affairs","MPA 2012 "
"FREID,MATTHEW","Lecturer","Curriculum And Instruction","MS 2011 DePaul University"
"FRICKE,PAUL","Professor","Animal And Dairy Sciences","PHD 1996 North Dakota State University"
"FRIEDLAND,LEWIS","Professor","Journalism&amp;Mass Communication","PHD 1985 Brandeis University"
"FRIEDMAN,JAMES ALAN","Adjunct Instructor","Law School","JD 1992 Univ of Wisconsin-Madison"
"FRIEDMAN,MATTHEW L.","Assoc Lecturer","Economics","PHD 2015 Univ of Wisconsin-Madison"
"FRIEDMAN,SUSAN","Professor","English","PHD 1973 Univ of Wisconsin-Madison"
"FRIEDRICH,THOMAS","Professor","Pathobiological Sciences","PHD 2003 Univ of Wisconsin-Madison"
"FRIEDRICHS,KRISTEN R","Clinical Assoc Prof","Pathobiological Sciences","DVM 1991 Univ of Wisconsin-Madison"
"FRIESEN,PAUL DEAN","Professor","Biochemistry","PHD 1983 Univ of Wisconsin-Madison"
"FRITSCH,MICHAEL KEVIN","Professor (Chs)","Pathology&amp;Laboratory Medicine","PHD 1991 Univ of Wisconsin-Madison"
"FROST,NICKOLAS DELMAR","Assistant Professor","Counseling Psychology","PSYD 2017 Univ of Wisconsin-Madison"
"FU,CHAO","Professor","Economics","PHD 2010 University of Pennsylvania"
"FU,SHUBIN","Visiting Asst Prof","Mathematics","PHD 2017 Texas A &amp; M University"
"FUHREMANN,KRISTEN","Faculty Associate","Accting &amp; Info Sys","MACC 2000 Univ of Wisconsin-Madison"
"FUJIMURA,JOAN","Professor","Sociology","PHD 1986 Univ of California Berkeley"
"FULMER,MIMMI","Professor","Mead Witter School Of Music","MA 1976 New England Cnsrvtry Of Music"
"FULTON,SCOTT","Adjunct Professor","Ms In Biotechnology Degree Prg","MS 1977 Massachusetts Inst Of Tech"
"FUNK,LUKE M","Associate Professor","Surgery","MD 2005 Loyola University of Chicago"
"FURLONG,SCOTT","Assoc Lecturer","Information School","MS 2012 Bentley College"
"FURUMOTO,DAVID","Professor","Theatre &amp; Drama","MFA 1982 University of Hawaii at Manoa"
"GABAI,JOSHUA","Assoc Lecturer","Curriculum And Instruction","EDM 2019 Univ of Wisconsin-Madison"
"GABER,ALICE","Assoc Lecturer","Classic &amp; Ancient Near E Stds","PHD 2019 Ohio State University"
"GADDIS,JENNIFER","Assistant Professor","School Of Human Ecology","PHD 2014 Yale University"
"GADE,ANNA MARGARET","Professor","Academic Programs","PHD 1999 University of Chicago"
"GAERTNER,FABIO","Associate Professor","Accting &amp; Info Sys","PHD 2011 University of Arizona"
"GAJESKI,SHARON K","Faculty Associate","Nursing","MSN 2011 Univ of Wisconsin-Oshkosh"
"GALIPEAU,JACQUES","Professor","Medicine","MD 1988 University of Montreal"
"GALLAGHER,CATHERINE L","Professor (Chs)","Neurology","MD 1993 Univ of Colorado at Denver"
"GALLIMORE,CASEY","Assoc Professor (Chs)","Pharmacy","PHARMD 2005 Univ of Wisconsin-Madison"
"GALLIMORE,JONATHAN","Senior Lecturer","Psychology","PHD  Washington State University"
"GALMOZZI,ANDREA","Assistant Professor","Medicine","PHD 2010 Univ degli Studi di Milano"
"GALVAO,LOREN W","Faculty Associate","Nursing","MD 1983 Univ Federal de Pelotas"
"GAMM,DAVID","Professor","Ophthalmology&amp;Visual Sciences","PHD 1998 Univ of Michigan at Ann Arbor"
"GAMMIE,STEPHEN C.","Professor","Integrative Biology","PHD 1997 University of Washington"
"GANCO,MARTIN","Associate Professor","Management &amp; Human Resources","PHD 2010 Univ of IL at Urbana-Champaign"
"GANGL,AMY ELIZABETH","Assoc Faculty Assoc","Political Science","PHD 2001 Univ of Minnesota-Twin Cities"
"GANGNON,RON","Professor","Population Health Sciences","PHD 1998 Univ of Wisconsin-Madison"
"GANZ,OLGA RADKO","Assoc Faculty Assoc","Pharmacy","OQUAL  "
"GAO,SONG","Assistant Professor","Geography","PHD 2017 U of California-Santa Barbara"
"GARAND,ETIENNE","Associate Professor","Chemistry","PHD 2010 Univ of California Berkeley"
"GARBACZ,ANDY","Associate Professor","Educational Psychology","PHD 2010 University of Nebraska-Lincoln"
"GARCIA TRILLOS,NICOLAS","Assistant Professor","Statistics","PHD 2015 Carnegie-Mellon University"
"GARCIA,ALEXANDRA","Assoc Lecturer","Social Work","MSW 2010 Univ of Wisconsin-Madison"
"GARCIA,DENIA","Assistant Professor","Lafollette Sch Of Publ Affairs","PHD 2017 Princeton University"
"GAROON,JOSH","Assistant Professor","Community &amp; Environ Sociology","PHD 2009 Johns Hopkins University"
"GARTLAND,SHARON G","Clinical Professor","Kinesiology","PHD 2015 St. Catherine University"
"GARTNER,WILLIAM","Senior Lecturer","Geography","PHD 2003 Univ of Wisconsin-Madison"
"GASCH,AUDREY P.","Professor","Genetics","PHD 2000 Stanford University"
"GASPER,DAVID","Clinical Asst Prof","Pathobiological Sciences","PHD 2015 "
"GATHMAN,CABELL HANKINSON","Lecturer","Gender And Women Studies","PHD 2014 Univ of Wisconsin-Madison"
"GATTENBY,TIM G.","Dis Faculty Associate","Kinesiology","MS 1986 Washington State University"
"GAUDREAU,JOSEPH B","Professor L/I","Civil &amp; Environmental Engr","M.ARCH  "
"GAVINS,JAMES","Lecturer","Dance","BA 2012 Univ of Wisconsin-Madison"
"GE,YING","Professor","Cell And Regenerative Biology","PHD 2002 Cornell University"
"GEBBIE,MATT","Assistant Professor","Chemical &amp; Biological Engr","PHD  U of California-Santa Barbara"
"GEIGER,BENEDIKT","Assistant Professor","Engineering Physics","PHD  Ludwig Maximilians U Munchen"
"GELLMAN,SAMUEL H.","Professor","Chemistry","PHD 1986 Columbia University"
"GENNERMAN,REBECCA JO","Clinical Instructor","Law School","MA 2001 Univ of Colorado at Denver"
"GENSKOW,KEN","Professor","Planning &amp; Landscape Arch","PHD 2001 Univ of Wisconsin-Madison"
"GEORGE,MAY","Lecturer","Inst Reg Intl Studies","PHD 2011 Arizona State University"
"GEORGIADES,ARISTOTLE","Professor","Art","MFA 1984 Sch Of The Art Inst Of Chicago"
"GERA,PRERNA","Visiting Asst Prof","Mathematics","PHD 2017 SUNY at Buffalo"
"GERARD,HEATHER STEPHANY","Adjunct Professor","Ms In Biotechnology Degree Prg","MS 2006 Univ of Wisconsin-Madison"
"GERASSI,LARA","Assistant Professor","Social Work","PHD 2017 Washington University"
"GERBER,THEODORE P.","Professor","Sociology","PHD 1995 Univ of California Berkeley"
"GERHART,BARRY","Professor","Management &amp; Human Resources","PHD 1985 Univ of Wisconsin-Madison"
"GERN,JAMES E.","Professor","Pediatrics","MD 1981 University of South Florida"
"GERNSBACHER,MORTON ANN","Professor","Psychology","PHD 1983 University of Texas at Austin"
"GEVENS,AMANDA JANE","Professor","Plant Pathology","PHD 2005 Michigan State University"
"GEYER,NAOMI","Associate Professor","Asian Languages &amp; Cultures","PHD 2001 Columbia University"
"GHANDHI,JAAL","Professor","Mechanical Engineering","PHD 1995 Princeton University"
"GHOUSSEINI,HALA","Associate Professor","Curriculum And Instruction","PHD 2008 Univ of Michigan at Ann Arbor"
"GIBBS,HOLLY KRISTEN","Associate Professor","Geography","PHD 2008 Univ of Wisconsin-Madison"
"GIBSON,MARTHA","Faculty Associate","Philosophy","PHD 1989 Univ of Wisconsin-Madison"
"GICQUELAIS,RACHEL","Assistant Professor","Nursing","PHD 2018 University of MI"
"GIDAL,BARRY","Professor (Chs)","Pharmacy","PHARMD 1990 University of Washington"
"GILBERT,LEWIS E","Senior Lecturer","Office Of Sustainability","PHD 1993 Columbia University"
"GILBERT,PUPA","Professor","Physics","PHD 1987 Univ Studi di Roma-La Sapienza"
"GILLETT,JOHN ROBERT","Senior Lecturer","Statistics","MS 1989 Stanford University"
"GILLIAN,ANNELYNN","Faculty Associate","Engineering Research Center","PHD 1999 Univ of Wisconsin-Madison"
"GILLIE,NAZAN","Lecturer","Integrative Biology","PHD 2001 Louisiana State U &amp; A&amp;M Colg"
"GILLIS,COLIN RADCLIFFE","Lecturer","English","PHD 2010 Yale University"
"GILMORE,JANET C.","Honorary Assoc/Fellow","Planning &amp; Landscape Arch","PHD 1991 Indiana University"
"GILROY,SIMON","Professor","Botany","PHD 1987 University of Edinburgh"
"GINDER-VOGEL,MATTHEW","Associate Professor","Civil &amp; Environmental Engr","PHD 2006 Stanford University"
"GIOIA,CHRISTOPHER","Clinical Assoc Prof","Psychology","PHD 2011 Nova University"
"GIOVANNELLI CAPUTO,CHRISTINA","Assoc Lecturer","Information School","MLIS 2009 Dominican University"
"GIPSON,JENNIFER","Assistant Professor","French And Italian","PHD 2011 Univ of California Berkeley"
"GITTER,ANTHONY","Assistant Professor","Biostatistics&amp;Med Informatics","PHD 2012 Carnegie-Mellon University"
"GIVNISH,THOMAS J.","Professor","Botany","PHD 1976 Princeton University"
"GLADSTONE,BRUCE E.","Senior Lecturer","Mead Witter School Of Music","DMA 1999 Univ of IL at Urbana-Champaign"
"GLASPIE,JODIE","Asst Faculty Assoc","Social Work","MSW 2014 Univ Of Minnesota-St Paul"
"GLAWTSCHEW,REBECCA","Lecturer","Economics","PHD  Univ Of NC At Chapel Hill"
"GLAZER,JEFFREY","Clinical Assoc Prof","Law School","JD 2004 Chicago-Kent College Of Law"
"GLEICHER,MICHAEL","Professor","Computer Sciences","PHD 1994 Carnegie-Mellon University"
"GLINBERG,LANNY","Clinical Asst Prof","Law School","JD 2007 Univ of Wisconsin-Madison"
"GLINSMANN,BETHANY","Assoc Faculty Assoc","Agricultural&amp;Applied Economics","MS 2011 Univ of Wisconsin-Madison"
"GLORIA,ALBERTA M.","Professor","Counseling Psychology","PHD 1993 Arizona State University"
"GLOTZER,PAIGE","Assistant Professor","History","PHD 2016 Johns Hopkins University"
"GLOWACKI,GULNARA","Senior Lecturer","German, Nordic &amp; Slavic","PHD 2009 Eurasian National University"
"GLUKHOV,ALEXEY","Assistant Professor","Medicine","PHD 2010 Russian Academy of Sciences"
"GOCMEN,ASLIGUL","Associate Professor","Geography","PHD 2005 Univ of Michigan at Ann Arbor"
"GODFREY,BROOKE","Asst Faculty Assoc","Design Studies","MFA 2008 Univ of Wisconsin-Madison"
"GOETZINGER,MATTHEW JAMES","Lecturer","Finance","MS 2004 Univ of Wisconsin-Madison"
"GOFF,PETER","Assistant Professor","Ed Leadership&amp;Policy Analysis","PHD 2012 Vanderbilt University"
"GOH,JUN LE","Visiting Asst Prof","Mathematics","PHD 2019 Cornell University"
"GOLAB,HANNA","Assoc Lecturer","Classic &amp; Ancient Near E Stds","PHD 2017 Princeton University"
"GOLDBERG,CHAD ALAN","Professor","Sociology","PHD 2001 New College of Florida"
"GOLDBERG,SIMON","Assistant Professor","Counseling Psychology","PSYD 2017 Univ of Wisconsin-Madison"
"GOLDBERG,TONY","Professor","Pathobiological Sciences","PHD 1996 Harvard University"
"GOLDBERGER,ZACHARY","Assoc Professor (Chs)","Medicine","MD 2004 Yale University"
"GOLDEN,JENNIFER","Assistant Professor","Pharmacy","PHD 2002 University of Kansas"
"GOLDGEL-CARBALLO,VICTOR","Associate Professor","Spanish And Portuguese","PHD 2009 Univ of California Berkeley"
"GOLDMAN,IRWIN","Professor","Horticulture","PHD 1991 Univ of Wisconsin-Madison"
"GOLDSMITH,HILL","Professor","Psychology","PHD 1978 Univ of Minnesota-Twin Cities"
"GOLDSMITH,RANDALL H","Associate Professor","Chemistry","PHD 2007 Northwestern University"
"GOLDSTEIN,RUTH ELIZABETH","Assistant Professor","Gender And Women Studies","PHD 2015 Univ of California Berkeley"
"GOLOS,THADDEUS G.","Professor","Comparative Biosciences","PHD 1984 Univ of IL at Urbana-Champaign"
"GOMEZ,MARY LOUISE","Professor","Curriculum And Instruction","PHD 1985 Univ of Wisconsin-Madison"
"GOMEZ,PABLO","Associate Professor","Dept Of Med History&amp;Bioethics","PHD  Vanderbilt University"
"GOMEZ,TIMOTHY M","Professor","Department Of Neuroscience","PHD 1995 Univ of Minnesota-Twin Cities"
"GONDI,VINAI","Clinical Adjunct Asst Prof","Volunteer Staff","MD 2007 Columbia University"
"GONG,SHAOQIN SARAH","Professor","Biomedical Engineering","PHD 1999 Univ of Michigan at Ann Arbor"
"GONG,XIANGHONG","Professor","Mathematics","PHD 1994 University of Chicago"
"GONZALEZ,ALEXANDER","Asst Faculty Assoc","Mead Witter School Of Music","MM 2014 Univ of Wisconsin-Madison"
"GOOD,ANNALEE","Lecturer","Educational Policy Studies","PHD 2011 Univ of Wisconsin-Madison"
"GOODING,DIANE CAROL","Professor","Psychology","PHD 1996 Univ of Minnesota-Twin Cities"
"GOODKIN,RICHARD","Professor","French And Italian","PHD 1981 Princeton University"
"GOODWIN,LAUREL B","Professor","Geoscience","PHD 1988 Univ of California Berkeley"
"GOPALAN,PADMA","Professor","Materials Science&amp;Engineering","PHD 2001 Cornell University"
"GORIN,VADIM","Associate Professor","Mathematics","PHD 2011 Moscow State Univ Lomonosov"
