"name","position","department","degree"
"SHIU,GARY","Professor","Physics","PHD 1998 Cornell University"
"SHIYANBOLA,OLAYINKA","Associate Professor","Pharmacy","PHD 2009 University of Iowa"
"SHOEMAKER,KARL","Professor","History","PHD 2001 Univ of California Berkeley"
"SHOHET,J. LEON","Professor","Electrical &amp; Computer Engr","PHD 1961 Carnegie-Mellon University"
"SHORT,SARAH JESSIE","Assistant Professor","Educational Psychology","PHD 2009 Univ of Wisconsin-Madison"
"SHOWERS,CAROLIN J.","Senior Lecturer","Psychology",NA
"SHREVE,PORTER","Professor","English","MFA 1998 Univ of Michigan at Ann Arbor"
"SHUBERT,AMANDA","Assoc Lecturer","Communication Arts","PHD 2019 University of Chicago"
"SHULL,JAMES","Professor","Oncology","PHD 1984 Univ of Wisconsin-Madison"
"SHUMOW,JOSEPH DEY","Lecturer","Real Estate &amp; Urgan Land Econ","JD 2007 Washington University"
"SHUSTA,ERIC","Professor","Chemical &amp; Biological Engr","PHD 1999 Univ of IL at Urbana-Champaign"
"SHUTSKE,JOHN","Professor","Biological Systems Engineering","PHD 1988 Purdue University"
"SHUTTS,KRISTIN","Professor","Psychology","PHD 2006 Harvard University"
"SIBERT,EDWIN L.","Professor","Chemistry","PHD 1983 Univ of Colorado at Boulder"
"SIDEL,MARK","Professor","Law School","JD 1985 Columbia University"
"SIDELLE,ALAN","Professor","Philosophy","PHD 1986 Cornell University"
"SIEMSEN,ENNO","Professor","Operations &amp; Information Mgmt","PHD 2005 Univ Of NC At Chapel Hill"
"SIFAKIS,EFTYCHIOS","Associate Professor","Computer Sciences","PHD 2007 Stanford University"
"SIGLER,PATRICIA ANN","Assoc Faculty Assoc","Consumer Science","MS 1995 Univ of Wisconsin-Madison"
"SILBER,HANNAH","Lecturer","Industrial &amp; Systems Engr","PHD 2018 Univ of Wisconsin-Madison"
"SILBERNAGEL,JANET","Professor","Planning &amp; Landscape Arch","PHD 1996 Michigan Technological Univ"
"SILET,KARIN","Lecturer","Counseling Psychology","MA 1993 Bucknell University"
"SILVA,ERIN","Associate Professor","Plant Pathology","PHD 2002 Washington State University"
"SIMCOX,JUDITH A","Assistant Professor","Biochemistry","PHD 2014 University of Utah"
"SIMMONS,ERICA S","Associate Professor","Political Science","PHD 2012 University of Chicago"
"SIMON,PHILIPP","Professor","Horticulture","PHD 1977 Univ of Wisconsin-Madison"
"SIMPSON,GAIL","Professor","Art","MFA 1989 Sch Of The Art Inst Of Chicago"
"SIMS,REVEL","Assistant Professor","Planning &amp; Landscape Arch","PHD 2014 Univ of California Los Angeles"
"SINCLAIR,MATT","Assistant Professor","Computer Sciences","PHD 2018 Univ of IL at Urbana-Champaign"
"SINCOULAR,RANDY","Assoc Lecturer","Geography","MS 2018 Univ of Wisconsin-Madison"
"SINDELAR,JEFFREY J","Professor","Animal And Dairy Sciences","PHD 2002 Iowa State Univ of Sci &amp; Tech"
"SINGER,BEN","Associate Professor","Communication Arts","PHD 1996 New York University"
"SINGER,BRADLEY S.","Professor","Geoscience","PHD 1990 University of Wyoming"
"SINGH,ANNE M","Associate Professor","Pediatrics","MD 2002 Yeshiva University"
"SINGH,VIKAS","Professor","Biostatistics&amp;Med Informatics","PHD 2007 SUNY at Buffalo"
"SINHA,RAUNAK","Assistant Professor","Department Of Neuroscience","PHD 2011 International Univ in Germany"
"SISODIA,BHANUSHRI","Lecturer","South Asian Sum Lang Instit",NA
"SKALA,MELISSA","Professor","Biomedical Engineering","PHD 2007 Duke University"
"SKARZYNSKI,BART","Assoc Faculty Assoc","Engr Professional Development","MFA 2007 Ohio State University"
"SKOG,MARLENE","Assistant Professor","Dance","MFA 2001 University of Arizona"
"SKOP,AHNA","Professor","Genetics","PHD 2000 Univ of Wisconsin-Madison"
"SKRENTNY,JAMES DOUGLAS","Faculty Associate","Computer Sciences","PHD 2000 Univ of Wisconsin-Madison"
"SLACK,KRISTEN","Professor","Social Work","PHD 1999 University of Chicago"
"SLADKY,KURT","Clinical Professor","Surgical Sciences","DVM 1993 Univ of Wisconsin-Madison"
"SLUKVIN,IGOR I","Professor","Pathology&amp;Laboratory Medicine","PHD 1987 Natl Tech Univ of Ukraine"
"SMEDEMA,ADAM R","Lecturer","Finance","PHD 2011 Florida State University"
"SMEDEMA,SUSAN MILLER","Professor","Rehab Psychology &amp; Special Ed","PHD 2005 Univ of Wisconsin-Madison"
"SMEEDING,TIMOTHY MICHAEL","Professor","Lafollette Sch Of Publ Affairs","PHD 1975 Univ of Wisconsin-Madison"
"SMITH III,LESLIE","Associate Professor","Art","MFA 2009 Yale University"
"SMITH,AMANDA G","Asst Faculty Assoc","Industrial &amp; Systems Engr","PHD  Univ of Wisconsin-Madison"
